OrderDate,ParentProductIdNew,ParentProductNew,ProductCategoryNew,ArtistNameNew,total_qty_sales,Selling Price,productListViews,productListClicks
01-01-2019,11,Product 11,Category 1,TSSOS,3,399,,
01-01-2019,114,Product 114,Category 8,TSSA,10,549,,
01-01-2019,98,Product 98,Category 8,TSSHT,8,499,,
01-01-2019,97,Product 97,Category 8,TSSF,6,549,,
01-01-2019,8,Product 8,Category 1,TSSML,6,399,,
01-01-2019,16,Product 16,Category 1,TSSOS,3,399,,
01-01-2019,15,Product 15,Category 1,TSSOS,4,399,,
01-01-2019,12,Product 12,Category 1,TSSOS,3,399,,
01-01-2019,2,Product 2,Category 1,TSSCC,4,399,,
01-01-2019,5,Product 5,Category 1,TSSF,7,399,,
01-01-2019,6,Product 6,Category 1,TSSML,3,399,,
01-01-2019,7,Product 7,Category 1,TSSML,4,399,,
01-01-2019,107,Product 107,Category 8,TSSOS,11,686,,
01-01-2019,105,Product 105,Category 8,TSSOS,14,499,,
01-01-2019,54,Product 54,Category 4,TSSLO,6,1299,,
01-01-2019,57,Product 57,Category 4,TSSML,24,1299,,
01-01-2019,53,Product 53,Category 4,TSSHT,22,1499,,
01-01-2019,13,Product 13,Category 1,TSSOS,1,399,,
01-01-2019,3,Product 3,Category 1,TSSCC,2,399,,
01-01-2019,50,Product 50,Category 4,TSSCC,27,1299,,
01-01-2019,10,Product 10,Category 1,TSSOS,5,399,,
01-01-2019,110,Product 110,Category 8,TSSOS,6,449,,
01-01-2019,94,Product 94,Category 8,TSSF,23,522,,
01-01-2019,102,Product 102,Category 8,TSSML,22,599,,
01-01-2019,111,Product 111,Category 8,TSSOS,3,449,,
01-01-2019,113,Product 113,Category 8,TSSOS,2,549,,
01-01-2019,95,Product 95,Category 8,TSSF,50,520,,
01-01-2019,4,Product 4,Category 1,TSSDP,5,399,,
01-01-2019,106,Product 106,Category 8,TSSOS,1,549,,
01-01-2019,60,Product 60,Category 4,TSSOS,8,1299,,
02-01-2019,11,Product 11,Category 1,TSSOS,10,399,,
02-01-2019,114,Product 114,Category 8,TSSA,8,627,,
02-01-2019,98,Product 98,Category 8,TSSHT,12,544,,
02-01-2019,97,Product 97,Category 8,TSSF,7,549,,
02-01-2019,8,Product 8,Category 1,TSSML,6,399,,
02-01-2019,16,Product 16,Category 1,TSSOS,6,399,,
02-01-2019,15,Product 15,Category 1,TSSOS,10,399,,
02-01-2019,12,Product 12,Category 1,TSSOS,4,399,,
02-01-2019,2,Product 2,Category 1,TSSCC,8,399,,
02-01-2019,5,Product 5,Category 1,TSSF,4,399,,
02-01-2019,6,Product 6,Category 1,TSSML,6,399,,
02-01-2019,7,Product 7,Category 1,TSSML,7,399,,
02-01-2019,107,Product 107,Category 8,TSSOS,13,499,,
02-01-2019,105,Product 105,Category 8,TSSOS,10,499,,
02-01-2019,54,Product 54,Category 4,TSSLO,16,1299,,
02-01-2019,57,Product 57,Category 4,TSSML,25,1299,,
02-01-2019,53,Product 53,Category 4,TSSHT,24,1499,,
02-01-2019,13,Product 13,Category 1,TSSOS,1,399,,
02-01-2019,3,Product 3,Category 1,TSSCC,7,399,,
02-01-2019,50,Product 50,Category 4,TSSCC,31,1299,,
02-01-2019,10,Product 10,Category 1,TSSOS,1,399,,
02-01-2019,110,Product 110,Category 8,TSSOS,6,449,,
02-01-2019,94,Product 94,Category 8,TSSF,20,499,,
02-01-2019,102,Product 102,Category 8,TSSML,16,599,,
02-01-2019,111,Product 111,Category 8,TSSOS,7,524,,
02-01-2019,113,Product 113,Category 8,TSSOS,2,549,,
02-01-2019,95,Product 95,Category 8,TSSF,54,561,,
02-01-2019,4,Product 4,Category 1,TSSDP,7,399,,
02-01-2019,90,Product 90,Category 8,TSSCC,1,549,,
02-01-2019,60,Product 60,Category 4,TSSOS,22,1299,,
03-01-2019,11,Product 11,Category 1,TSSOS,8,399,,
03-01-2019,114,Product 114,Category 8,TSSA,14,549,,
03-01-2019,98,Product 98,Category 8,TSSHT,12,499,,
03-01-2019,97,Product 97,Category 8,TSSF,8,627,,
03-01-2019,8,Product 8,Category 1,TSSML,6,399,,
03-01-2019,16,Product 16,Category 1,TSSOS,1,399,,
03-01-2019,15,Product 15,Category 1,TSSOS,5,399,,
03-01-2019,12,Product 12,Category 1,TSSOS,4,399,,
03-01-2019,2,Product 2,Category 1,TSSCC,1,399,,
03-01-2019,5,Product 5,Category 1,TSSF,5,399,,
03-01-2019,6,Product 6,Category 1,TSSML,6,399,,
03-01-2019,7,Product 7,Category 1,TSSML,11,399,,
03-01-2019,107,Product 107,Category 8,TSSOS,10,499,,
03-01-2019,105,Product 105,Category 8,TSSOS,13,499,,
03-01-2019,54,Product 54,Category 4,TSSLO,10,1299,,
03-01-2019,57,Product 57,Category 4,TSSML,28,1287,,
03-01-2019,53,Product 53,Category 4,TSSHT,19,1499,,
03-01-2019,13,Product 13,Category 1,TSSOS,1,399,,
03-01-2019,3,Product 3,Category 1,TSSCC,4,399,,
03-01-2019,50,Product 50,Category 4,TSSCC,16,1299,,
03-01-2019,10,Product 10,Category 1,TSSOS,4,399,,
03-01-2019,110,Product 110,Category 8,TSSOS,8,449,,
03-01-2019,94,Product 94,Category 8,TSSF,21,552,,
03-01-2019,102,Product 102,Category 8,TSSML,10,599,,
03-01-2019,111,Product 111,Category 8,TSSOS,2,449,,
03-01-2019,113,Product 113,Category 8,TSSOS,1,549,,
03-01-2019,95,Product 95,Category 8,TSSF,66,507,,
03-01-2019,4,Product 4,Category 1,TSSDP,6,399,,
03-01-2019,90,Product 90,Category 8,TSSCC,1,549,,
03-01-2019,106,Product 106,Category 8,TSSOS,2,549,,
03-01-2019,60,Product 60,Category 4,TSSOS,16,1299,,
04-01-2019,11,Product 11,Category 1,TSSOS,7,399,,
04-01-2019,114,Product 114,Category 8,TSSA,5,549,,
04-01-2019,98,Product 98,Category 8,TSSHT,9,499,,
04-01-2019,97,Product 97,Category 8,TSSF,8,549,,
04-01-2019,8,Product 8,Category 1,TSSML,4,399,,
04-01-2019,16,Product 16,Category 1,TSSOS,2,399,,
04-01-2019,15,Product 15,Category 1,TSSOS,10,399,,
04-01-2019,12,Product 12,Category 1,TSSOS,4,399,,
04-01-2019,2,Product 2,Category 1,TSSCC,4,399,,
04-01-2019,5,Product 5,Category 1,TSSF,6,399,,
04-01-2019,6,Product 6,Category 1,TSSML,6,399,,
04-01-2019,7,Product 7,Category 1,TSSML,9,399,,
04-01-2019,107,Product 107,Category 8,TSSOS,9,499,,
04-01-2019,105,Product 105,Category 8,TSSOS,11,499,,
04-01-2019,54,Product 54,Category 4,TSSLO,10,1299,,
04-01-2019,57,Product 57,Category 4,TSSML,14,1299,,
04-01-2019,53,Product 53,Category 4,TSSHT,20,1499,,
04-01-2019,13,Product 13,Category 1,TSSOS,1,399,,
04-01-2019,3,Product 3,Category 1,TSSCC,4,399,,
04-01-2019,50,Product 50,Category 4,TSSCC,22,1299,,
04-01-2019,10,Product 10,Category 1,TSSOS,5,399,,
04-01-2019,110,Product 110,Category 8,TSSOS,6,449,,
04-01-2019,94,Product 94,Category 8,TSSF,24,499,,
04-01-2019,102,Product 102,Category 8,TSSML,19,599,,
04-01-2019,111,Product 111,Category 8,TSSOS,2,449,,
04-01-2019,113,Product 113,Category 8,TSSOS,4,549,,
04-01-2019,95,Product 95,Category 8,TSSF,68,514,,
04-01-2019,4,Product 4,Category 1,TSSDP,5,399,,
04-01-2019,90,Product 90,Category 8,TSSCC,28,503,,
04-01-2019,60,Product 60,Category 4,TSSOS,15,1299,,
05-01-2019,11,Product 11,Category 1,TSSOS,4,399,,
05-01-2019,114,Product 114,Category 8,TSSA,14,549,,
05-01-2019,98,Product 98,Category 8,TSSHT,7,499,,
05-01-2019,97,Product 97,Category 8,TSSF,3,549,,
05-01-2019,8,Product 8,Category 1,TSSML,5,399,,
05-01-2019,16,Product 16,Category 1,TSSOS,2,399,,
05-01-2019,15,Product 15,Category 1,TSSOS,5,399,,
05-01-2019,12,Product 12,Category 1,TSSOS,2,399,,
05-01-2019,2,Product 2,Category 1,TSSCC,5,399,,
05-01-2019,5,Product 5,Category 1,TSSF,3,399,,
05-01-2019,7,Product 7,Category 1,TSSML,6,399,,
05-01-2019,107,Product 107,Category 8,TSSOS,17,499,,
05-01-2019,105,Product 105,Category 8,TSSOS,14,499,,
05-01-2019,54,Product 54,Category 4,TSSLO,7,1299,,
05-01-2019,57,Product 57,Category 4,TSSML,15,1299,,
05-01-2019,53,Product 53,Category 4,TSSHT,24,1499,,
05-01-2019,13,Product 13,Category 1,TSSOS,1,399,,
05-01-2019,3,Product 3,Category 1,TSSCC,2,399,,
05-01-2019,50,Product 50,Category 4,TSSCC,20,1299,,
05-01-2019,10,Product 10,Category 1,TSSOS,2,399,,
05-01-2019,110,Product 110,Category 8,TSSOS,8,449,,
05-01-2019,94,Product 94,Category 8,TSSF,26,519,,
05-01-2019,102,Product 102,Category 8,TSSML,21,599,,
05-01-2019,111,Product 111,Category 8,TSSOS,3,449,,
05-01-2019,95,Product 95,Category 8,TSSF,52,519,,
05-01-2019,4,Product 4,Category 1,TSSDP,6,399,,
05-01-2019,90,Product 90,Category 8,TSSCC,22,499,,
05-01-2019,60,Product 60,Category 4,TSSOS,12,1299,,
06-01-2019,11,Product 11,Category 1,TSSOS,7,399,,
06-01-2019,114,Product 114,Category 8,TSSA,1,549,,
06-01-2019,98,Product 98,Category 8,TSSHT,13,541,,
06-01-2019,97,Product 97,Category 8,TSSF,5,549,,
06-01-2019,8,Product 8,Category 1,TSSML,6,399,,
06-01-2019,16,Product 16,Category 1,TSSOS,4,399,,
06-01-2019,15,Product 15,Category 1,TSSOS,8,399,,
06-01-2019,12,Product 12,Category 1,TSSOS,2,399,,
06-01-2019,2,Product 2,Category 1,TSSCC,2,399,,
06-01-2019,5,Product 5,Category 1,TSSF,8,399,,
06-01-2019,6,Product 6,Category 1,TSSML,8,399,,
06-01-2019,7,Product 7,Category 1,TSSML,2,399,,
06-01-2019,107,Product 107,Category 8,TSSOS,12,499,,
06-01-2019,105,Product 105,Category 8,TSSOS,17,499,,
06-01-2019,54,Product 54,Category 4,TSSLO,4,1299,,
06-01-2019,57,Product 57,Category 4,TSSML,7,1299,,
06-01-2019,53,Product 53,Category 4,TSSHT,13,1624,,
06-01-2019,13,Product 13,Category 1,TSSOS,2,399,,
06-01-2019,3,Product 3,Category 1,TSSCC,5,399,,
06-01-2019,50,Product 50,Category 4,TSSCC,23,1299,,
06-01-2019,10,Product 10,Category 1,TSSOS,6,399,,
06-01-2019,110,Product 110,Category 8,TSSOS,12,449,,
06-01-2019,94,Product 94,Category 8,TSSF,34,499,,
06-01-2019,102,Product 102,Category 8,TSSML,17,599,,
06-01-2019,111,Product 111,Category 8,TSSOS,4,449,,
06-01-2019,113,Product 113,Category 8,TSSOS,2,549,,
06-01-2019,95,Product 95,Category 8,TSSF,68,499,,
06-01-2019,4,Product 4,Category 1,TSSDP,6,399,,
06-01-2019,90,Product 90,Category 8,TSSCC,25,499,,
06-01-2019,60,Product 60,Category 4,TSSOS,4,1299,,
07-01-2019,11,Product 11,Category 1,TSSOS,6,399,,
07-01-2019,114,Product 114,Category 8,TSSA,10,686,,
07-01-2019,98,Product 98,Category 8,TSSHT,12,499,,
07-01-2019,97,Product 97,Category 8,TSSF,7,549,,
07-01-2019,8,Product 8,Category 1,TSSML,9,399,,
07-01-2019,16,Product 16,Category 1,TSSOS,6,399,,
07-01-2019,15,Product 15,Category 1,TSSOS,17,399,,
07-01-2019,12,Product 12,Category 1,TSSOS,4,399,,
07-01-2019,2,Product 2,Category 1,TSSCC,4,399,,
07-01-2019,5,Product 5,Category 1,TSSF,8,399,,
07-01-2019,6,Product 6,Category 1,TSSML,3,399,,
07-01-2019,7,Product 7,Category 1,TSSML,7,399,,
07-01-2019,107,Product 107,Category 8,TSSOS,17,499,,
07-01-2019,105,Product 105,Category 8,TSSOS,9,499,,
